Lde,Dde,P15,P16,P17,P18,P19,P20,P1,P22,P23,Source-Prop-Ent
An updated basal body temperature method,Publikation,"Frank E, White R",Contraception,Nov;54(5):319-21,+1996-01-01T00:00:00Z/9,10.1016/s0010-7824(96)00187-4,,https://pubmed.ncbi.nlm.nih.gov/8934068/,Temperaturmethode (Symptothermale Methode),Geschlecht,"P3"
The rhythm method of contraception,Publikation,Porter JF,Reprod Fertil Suppl,Apr;(22):91-105,+1975-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/1058971/,Kalendermethode,Geschlecht,"P3"
Alternatives to vaginal intercourse practiced during the fertile time among calendar method users in Ireland,Publikation,"Bonnar J, Lamprecht V, O'Conner E",Adv Contracept,Jun-Sep;13(2-3):173-7,+1997-01-01T00:00:00Z/9,10.1023/a:1006599804380,,https://pubmed.ncbi.nlm.nih.gov/9288335/,Kalendermethode,Geschlecht,"P3"
"Periodic abstinence and calendar method use in Hungary, Peru, the Philippines, and Sri Lanka",Publikation,"d'Arcangues C, Kennedy KI; Research Group on Methods for the Natural Regulation of Fertility",Contraception,Oct;64(4):209-15,+2001-01-01T00:00:00Z/9,10.1016/s0010-7824(01)00252-9,,https://pubmed.ncbi.nlm.nih.gov/11747869/,Kalendermethode,Geschlecht,"P3"
Pioneering studies of the 'morning-after' pill,Publikation,Kunjappu MJ,Yale J Biol Med,Jun;84(2):109-11,+2011-01-01T00:00:00Z/9,,'morning-after' pill; diethylstilbestrol; emergency contraception; estrogenic compounds; ethinyl estradiol,https://pubmed.ncbi.nlm.nih.gov/21698041/,Pille Danach,Geschlecht,"P3"
The morning-after pill--how long after?,Publikation,"Grou F, Rodrigues I",Am J Obstet Gynecol,Dec;171(6):1529-34,+1994-01-01T00:00:00Z/9,10.1016/0002-9378(94)90396-4,,https://pubmed.ncbi.nlm.nih.gov/7802062/,Pille Danach,Geschlecht,"P3"
Emergency contraception - A review,Publikation,"Rudzinski P, Lopuszynska I, Pazik D, Adamowicz D, Jargielo A, Cieslik A, Kosieradzka K, Stanczyk J, Meliksetian A, Wosinska A",Eur J Obstet Gynecol Reprod Biol,Dec;291:213-218,+2023-01-01T00:00:00Z/9,10.1016/j.ejogrb.2023.10.035,Copper intrauterine device; Emergency contraception; Levonorgestrel; Postcoital contraception; Ulipristal acetate,https://pubmed.ncbi.nlm.nih.gov/37922775/,Pille Danach,Geschlecht,"P3"
Emergency Contraception,Publikation,"Batur P, Kransdorf LN, Casey PM",Mayo Clin Proc,Jun;91(6):802-7,+2016-01-01T00:00:00Z/9,10.1016/j.mayocp.2016.02.018,,https://pubmed.ncbi.nlm.nih.gov/27261868/,Pille Danach,Geschlecht,"P3"
Oral emergency contraception with levonorgestrel plus piroxicam: a randomised double-blind placebo-controlled trial,Publikation,"Li RHW, Lo SST, Gemzell-Danielsson K, Fong CHY, Ho PC, Ng EHY",Lancet,Sep 9;402(10405):851-858,+2023-01-01T00:00:00Z/9,10.1016/S0140-6736(23)01240-0,,https://pubmed.ncbi.nlm.nih.gov/37597523/,Pille Danach,Effizienzmaße,P9
Ulipristal acetate versus levonorgestrel for emergency contraception: a randomised non-inferiority trial and meta-analysis,Publikation,"Glasier AF, Cameron ST, Fine PM, Logan SJ, Casale W, Van Horn J, Sogor L, Blithe DL, Scherrer B, Mathe H, Jaspart A, Ulmann A, Gainer E",Lancet,Feb 13;375(9714):555-62,+2010-01-01T00:00:00Z/9,10.1016/S0140-6736(10)60101-8,,https://pubmed.ncbi.nlm.nih.gov/20116841/,Pille Danach,Effizienzmaße,P9
Mechanisms of action of oral emergency contraception,Publikation,"Gemzell-Danielsson K, Berger C, Lalitkumar PG",Gynecol Endocrinol,Oct;30(10):685-7,+2014-01-01T00:00:00Z/9,10.3109/09513590.2014.950648,Emergency contraception pills; endometrium; follicular development; implantation; levonorgestrel; ovulation; ulipristal acetate,https://pubmed.ncbi.nlm.nih.gov/25117156/,Pille Danach,Material des Verhütungsmittels,P5
Current controversies with oral emergency contraception,Publikation,"Cameron ST, Li H, Gemzell-Danielsson K",BJOG,Dec;124(13):1948-1956,+2017-01-01T00:00:00Z/9,10.1111/1471-0528.14773,Emergency contraception; levonorgestrel; postcoital contraceptive agents; ulipristal acetate,https://pubmed.ncbi.nlm.nih.gov/28658565/,Pille Danach,Material des Verhütungsmittels,P5
